time,open,high,low,close,Basis,Upper,Lower,Volume,Plot,Plot,Plot,EMA Gatilho 3,EMA 5,EMA 8,EMA 13,EMA Referência 21,Bot Sinal UP (YES),Bot Sinal DOWN (NO)
1777337100,77404.57,77472.99,77288.95,77376.38,77066.32000000018,77449.39547245494,76683.24452754542,61.14595154,68.75712020644517,66.17211912929424,61.88618620073449,66.39269474030323,65.98211902974467,64.49901285406067,61.51879215310731,57.409555827303905,0,0
1777338000,77376.38,77399.69,77322.24,77345.29,77088.79650000019,77481.82672128688,76695.76627871349,22.66480402,64.69712537797912,63.52408880661966,60.19808109374249,64.95839177346144,65.16277562203634,64.28236306574044,61.80526310360908,57.965422461787156,0,0
1777338900,77345.29,77347.97,77169,77239.8,77100.82200000019,77496.86799850769,76704.77600149269,49.73309099,52.439560401979854,55.19669594904222,54.74176166546247,60.07754386125183,61.84074906437163,62.26332592869639,60.8611820815281,57.713720051537614,0,0
1777339800,77239.79,77239.79,77068.7,77099.64,77106.76700000018,77498.97536670843,76714.55863329193,39.38478029,40.53509280292904,46.246720612580674,48.45722634726726,53.16213223691625,56.64273958044131,58.7040803028929,58.773401871678466,56.67126555708698,0,0
1777340700,77099.64,77138.61,77031.69,77088.49,77113.42350000018,77499.59983376856,76727.2471662318,30.74377042,39.69867264818846,45.59326258639802,47.98527433113982,49.37769741165714,52.95958058242688,55.790565254782926,56.890524830924114,55.66417437793344,0,0
1777341600,77088.49,77222.39,77041.97,77157.26,77127.06300000018,77498.93448806174,76755.19151193862,33.50025476,47.49460706742138,50.39646642093153,51.1457365582591,49.887081916294335,52.105209195261764,54.591876625038175,55.962802200925175,55.18529183638781,0,0
1777342500,77157.25,77226.24,77000.01,77002.2,77131.7355000002,77494.76045115106,76768.71054884934,40.07077265,35.441460028327896,41.26882305557111,44.56989498811468,45.57795248593273,48.493080482031544,51.63119805404549,53.86366232301745,53.92015831085902,0,0
1777343400,77002.17,77036.85,76672.87,76699.01,77122.07750000019,77518.79648520303,76725.35851479735,101.72341038,22.446656848566207,29.61549146340353,35.07415356566983,37.59672197466813,42.20055080915554,46.73881881168061,50.39963791450118,51.71064314290852,0,1
1777344300,76699.01,76906.11,76673.28,76886.86,77127.57050000019,77507.7218110424,76747.41918895798,50.7696945,38.69464604746123,41.07092349908346,43.15506021075267,39.333822736875796,41.824008372464846,45.47928651999236,49.06696442658436,50.74339590256079,0,0
1777345200,76886.86,76895.99,76664.99,76764.75,77123.3120000002,77517.45951427871,76729.16448572167,63.73714453,33.38951591099354,36.75077731848136,39.69632373974524,38.04230002767858,40.13293135447035,43.53961780854547,47.30750912542679,49.47133966764448,0,1
1777346100,76764.74,76796.16,76700.01,76769.35,77113.2625000002,77531.98200771188,76694.54299228852,38.36502632,33.788478452282504,37.028029739174386,39.89176264576954,37.53516488342648,39.0979641493717,42.09259823757412,45.839012070247875,48.3401296741472,0,0
1777347000,76769.35,76848,76742.81,76790.68,77102.8855000002,77542.27170384135,76663.49929615903,45.94759651,35.86651965141641,38.41881071188175,40.849059422011614,37.97698779765412,38.871579670208384,41.276201009642485,44.778983304767,47.43819158666852,0,0
1777347900,76790.67,76842,76779.53,76809.35,77090.12900000019,77547.67347261861,76632.58452738177,29.20024175,37.85813347236984,39.7137245306715,41.72392443202381,38.84535616416281,39.152294623696086,40.928984014315596,44.05537490846765,46.73596730885061,0,0
1777348800,76809.35,76888.52,76769.28,76886.6,77082.76350000019,77548.36272427136,76617.16427572902,52.28359223,45.95921384536734,45.028021528561716,45.32713839436498,41.93668884636226,41.110870258651296,41.83988123970362,44.19432442562395,46.58069951064253,0,0
1777349700,76886.6,76944.69,76682.09,76795.38,77066.33150000019,77547.87073059464,76584.79226940573,57.70905334,38.96182090841059,40.360050618474794,42.02296585530479,41.14836973241853,40.86059704525913,41.51102999054166,43.646571024602636,46.01518597499092,0,1
1777350600,76795.37,76884.47,76746.01,76831,77042.97500000018,77522.58734376724,76563.36265623312,32.59631721,42.92087652912444,42.92711318571741,43.747357364223404,42.03774145906797,41.54943575874522,41.82571514502516,43.54379133333332,45.734452085056965,0,0
1777351500,76830.99,76954,76830.99,76885.6,77019.03400000019,77479.49389498346,76558.57410501692,23.25894309,48.85355735418047,46.825281652851,46.3799895466004,44.43151155595949,43.30805105678048,42.93672992454201,44.01257566469299,45.83361840940188,0,0
